loda_id;loda_dia;loda_mes;loda_cidade;loda_uf;loda_latitude;loda_longitude
419;21;7;Salvador;BA;-12.9472425;-38.4569097
420;21;7;Volta Redonda;RJ;-22.5089585;-44.1393054
421;21;7;Fortaleza;CE;-3.8321647;-38.5613844
429;1;7;Luiz Alves;SC;-26.7214593;-48.9338941
430;1;7;Paiçandu;PR;-23.4596622;-52.043441
431;1;7;Brejinho;PE;-7.3469421;-37.285843
432;1;7;Alto Alegre;RR;2.9842837;-61.3155793
433;1;7;São Luiz;RR;1.0103818;-60.0393231
434;1;7;São Luís;MA;-2.5641193;-44.2250257
435;1;7;Campo Grande;MS;-20.4771433;-54.6206472
436;1;7;São João da Baliza;RR;0.9590628;-59.9119928
437;1;7;Maria da Fé;MG;-22.3071903;-45.3721331
438;1;7;Buriticupu;MA;-4.323209;-46.4525254
439;1;7;Manaus;AM;-3.1217811;-60.035114
440;1;7;Iraí;RS;-27.1890348;-53.2566968
441;1;7;Belo Horizonte;MG;-19.8938406;-43.9582223
442;2;7;Mundo Novo;BA;-12.0504745;-40.4878407
443;2;7;Camacan;BA;-15.4158089;-39.4967931
444;2;7;Buritirama;BA;-10.7122746;-43.6335396
445;2;7;Alagoinhas;BA;-12.1562781;-38.4245828
446;2;7;Planalto;BA;-14.6665544;-40.4820983
447;2;7;Carinhanha;BA;-14.3051135;-43.7667478
448;2;7;Santarém;PA;-2.4650188;-54.7191371
449;2;7;Boa Vista;RR;2.8474306;-60.7051634
450;2;7;Itanhém;BA;-17.1636305;-40.3291598
451;2;7;Ilhéus;BA;-14.8028425;-39.0316683
452;2;7;Campo Alegre de Lourdes;BA;-9.516047;-43.0084994
453;2;7;Araci;BA;-11.3381116;-38.9629349
454;2;7;Pindaí;BA;-14.4867716;-42.6860147
422;22;7;Salvador;BA;-12.8748892;-38.4686296
423;22;7;Conceição da Aparecida;MG;-21.0938444;-46.2061395
424;22;7;Porto Velho;RO;-8.7339773;-63.8780993
425;22;7;Porto Alegre;RS;-30.0922472;-51.176826
426;22;7;São Sebastião;AL;-9.9362339;-36.5518454
427;22;7;Bonito;BA;-11.9711367;-41.2664698
428;22;7;América Dourada;BA;-11.3002474;-41.4486503
455;2;7;Ibipitanga;BA;-12.8820058;-42.4888495
456;2;7;Salvador;BA;-12.8475649;-38.3578349
457;2;7;Indaial;SC;-26.873698;-49.227602
458;2;7;Governador Valadares;MG;-18.8449777;-41.9500466
459;2;7;Macaúbas;BA;-13.0208547;-42.6901594
460;2;7;Itaeté;BA;-13.2159434;-41.069519
461;2;7;Senhor do Bonfim;BA;-10.4626021;-40.1862512
462;2;7;Santa Teresinha;BA;-12.7705188;-39.5244448
463;2;7;Ipiaú;BA;-14.1406708;-39.7329758
464;2;7;Ruy Barbosa;BA;-12.2887973;-40.5054243
465;2;7;Lauro de Freitas;BA;-12.9029294;-38.3312733
466;2;7;Arcoverde;PE;-8.4183432;-37.0600901
467;2;7;América Dourada;BA;-11.4738148;-41.5144329
468;2;7;São Paulo;SP;-23.5958532;-46.6008915
469;2;7;Jaguaquara;BA;-13.5343207;-39.9721669
470;2;7;Baixa Grande;BA;-11.9627568;-40.1651703
471;2;7;Pintadas;BA;-11.8260259;-39.9114204
472;2;7;Santa Luzia;BA;-15.4319109;-39.3311475
473;2;7;Barreiras;BA;-12.1420407;-44.9897148
474;2;7;Vitória da Conquista;BA;-14.8544681;-40.8409614
475;2;7;Conde;BA;-11.8128966;-37.6101109
476;2;7;Ibotirama;BA;-12.1882418;-43.2188187
477;2;7;Ibititá;BA;-11.5472087;-41.9744427
478;2;7;Barra do Mendes;BA;-12.2389744;-42.0599136
479;2;7;São Gabriel;BA;-11.2284356;-41.8783682
480;3;7;Jussara;GO;-15.8555792;-50.88999
481;3;7;Rio Branco;AC;-9.9431505;-67.8110987
482;3;7;Epitaciolândia;AC;-11.0242451;-68.7430727
483;3;7;Barão de Grajaú;MA;-6.7489921;-43.0269003
484;3;7;Arcoverde;PE;-8.433293;-37.0633149
485;3;7;Cocalzinho de Goiás;GO;-15.7796917;-48.7679606
486;3;7;Três Pontas;MG;-21.364157;-45.5104049
487;3;7;Caucaia;CE;-3.7295229;-38.694525
488;3;7;Manaus;AM;-3.1054824;-59.9833522
489;3;7;Água Clara;MS;-20.4442155;-52.8740612
490;3;7;Aparecida de Goiânia;GO;-16.794932;-49.3124156
491;3;7;Sonora;MS;-17.5877479;-54.751572
492;3;7;Cariacica;ES;-20.3218274;-40.3733602
493;3;7;Porto Nacional;TO;-10.7332361;-48.4098732
494;3;7;Jacareí;SP;-23.2648104;-46.066154
495;3;7;São José de Ribamar;MA;-2.5207709;-44.2107405
496;3;7;Salvador;BA;-12.9691919;-38.4569602
497;4;7;Araruna;PB;-6.5331521;-35.741323
498;4;7;Imbituba;SC;-28.1557463;-48.6560131
499;4;7;Pé de Serra;BA;-11.8339809;-39.6089589
500;4;7;Ladainha;MG;-17.634841;-41.7433479
501;4;7;Maracanaú;CE;-3.8400723;-38.6295128
502;4;7;Arcoverde;PE;-8.4104352;-37.065756
503;4;7;Castanheira;MT;-11.1380907;-58.6105114
504;4;7;Castanhal;PA;-1.3036197;-47.8833974
505;4;7;Juruena;MT;-10.3323651;-58.5061784
506;4;7;Aldeias Altas;MA;-4.6311793;-43.4686743
507;4;7;São José;SC;-27.5671578;-48.6240507
508;4;7;Duque de Caxias;RJ;-22.7010805;-43.3013045
509;4;7;Icó;CE;-6.3925701;-38.8535222
510;4;7;Taquari;RS;-29.8036617;-51.8665809
511;4;7;Angra dos Reis;RJ;-23.0180526;-44.5412358
512;4;7;Fortaleza;CE;-3.809849;-38.5557622
513;4;7;Juripiranga;PB;-7.3755867;-35.2360474
514;4;7;Paverama;RS;-29.5504593;-51.7476625
515;4;7;Tapurah;MT;-12.7380188;-56.5130829
516;4;7;Piripiri;PI;-4.2771336;-41.7797832
517;4;7;Cunhataí;SC;-26.968731;-53.0930324
518;4;7;Paranaíba;MS;-19.6686289;-51.1904429
519;4;7;Seberi;RS;-27.4722077;-53.4038615
520;5;7;Mata Grande;AL;-9.1222927;-37.7347277
